date,client_id,well_id,well_name,forecast,actual
1/31/2020,1009,44676,Bauer 2,3759.5297,4003.0300
1/31/2020,1009,44677,Bauer 3,3965.4477,4092.8100
1/31/2020,1009,44678,McCloskey 42 3,2759.8850,3676.1800
1/31/2020,1009,44679,Slaughter 87A 1,2140.3822,2960.8300
1/31/2020,1009,44680,Abraxas 32B 8,2789.7187,3474.5200
1/31/2020,1009,44681,Schneider A 1,2639.8863,4536.6400
1/31/2020,1009,44682,Abraxas 31C 2,2340.2643,3601.1300
1/31/2020,1009,44683,Richards 44A 4,414.9515,775.2100
1/31/2020,1009,44684,Williams 6 2,1779.8367,2488.8400
1/31/2020,1009,44685,Hale 1524,2061.1220,1757.0400
1/31/2020,1009,44686,Slaughter -C- 1,1388.7390,1020.9700
1/31/2020,1009,44687,Butchee 21 6,2297.1095,2237.5400
1/31/2020,1009,44688,Foster 41 1,2135.3958,4914.0100
1/31/2020,1009,44690,Beckham 1,2136.1010,2852.1800
1/31/2020,1009,44691,Hale 1441,2827.6390,8272.6400
1/31/2020,1009,44692,Deatherage 18 1,1708.1313,1339.0600
1/31/2020,1009,44693,Slaughter 87A 2,2257.4892,3899.3900
1/31/2020,1009,44694,Stevie Ray E Unit 1WA,15.2367,
1/31/2020,1009,44695,Abraxas 30 3,1450.7380,2610.8800
1/31/2020,1009,44696,Oneil 4 3,2609.1892,4592.0500
1/31/2020,1009,44697,Butchee 21 1,2209.5410,1837.7700
1/31/2020,1009,44698,Slaughter 87B 1,2247.0510,2899.3300
1/31/2020,1009,44699,Deatherage 23 1,2741.2595,2547.6600
1/31/2020,1009,44700,Lucy 1,1275.7965,2697.3700
1/31/2020,1009,44701,Slaughter 75A 1,2997.7630,3377.0600
1/31/2020,1009,44702,Middleton 2,1845.2455,3574.8500
1/31/2020,1009,44703,Richards 44 3,1902.6313,3336.4500
1/31/2020,1009,44704,Davis 42 3,193.9220,3520.9800
1/31/2020,1009,44705,Cook 22 8,2376.9093,2927.7400
1/31/2020,1009,44706,Nichols 24 1,759.1950,3276.4700
1/31/2020,1009,44707,Richards 44 4,2145.7852,3336.2700
1/31/2020,1009,44708,Slaughter 533,2306.3920,2715.2600
1/31/2020,1009,44709,Abraxas 27 1,3392.9642,3438.4900
1/31/2020,1009,44710,Abraxas 27 5,3233.7103,2745.3600
1/31/2020,1009,44711,Slaughter -B- 4,1214.6555,1322.1600
1/31/2020,1009,44712,Abraxas 27 4,3175.4552,2980.2000
1/31/2020,1009,44713,Abraxas 28C 1,3084.0907,3773.8400
1/31/2020,1009,44714,Abraxas 32 12,3056.0212,2475.4400
1/31/2020,1009,44715,Elma L Slaughter G 1,3077.0467,3135.2100
1/31/2020,1009,44716,Elma L Slaughter 1,2250.2478,2418.3200
1/31/2020,1009,44717,Titos 31-42 2WA,14422.6408,
1/31/2020,1009,44718,Hale 1521,2601.7230,3506.0600
1/31/2020,1009,44719,Slaughter 514,2505.0785,4061.7200
1/31/2020,1009,44720,Williams 6 1,1908.5620,2664.7100
1/31/2020,1009,44721,Baldwin 7 2,2679.4443,2306.6700
1/31/2020,1009,44722,Lady Bird 22-14 1WB,15140.3212,21710.9000
1/31/2020,1009,44723,Slaughter 29B 1,2671.7540,2457.5600
1/31/2020,1009,44724,Butchee 21 2,1906.1780,2717.9800
1/31/2020,1009,44725,Abraxas 27A 3,1888.6355,2306.9100
1/31/2020,1009,44728,Abraxas 32B 10,2800.7190,3158.2400
1/31/2020,1009,44729,Thirsty Goat E Unit 1LS,10576.6472,
1/31/2020,1009,44730,Thomas A 1533,514.0978,277.2400
1/31/2020,1009,44731,Abraxas 31B 1,2514.4768,3395.8300
1/31/2020,1009,44732,Slaughter B-3 1,2736.8080,3871.7700
1/31/2020,1009,44734,Garner 7 1,3143.9615,4377.0000
1/31/2020,1009,44735,Cook 21 3,1916.9293,2738.6000
1/31/2020,1009,44736,Baldwin 7 1,2710.2282,2124.0600
1/31/2020,1009,44737,Abraxas 32C 1,2501.7723,4228.0800
1/31/2020,1009,44738,Snell 43A 1,2196.7357,6079.6800
1/31/2020,1009,44739,Yates 82 4,2462.4480,7236.0400
1/31/2020,1009,44740,Abraxas 31 1,2589.1140,2971.6200
1/31/2020,1009,44741,Deatherage 18 3,1429.8025,1339.0600
1/31/2020,1009,44742,McCloskey 42 1,3017.6427,2958.7400
1/31/2020,1009,44743,Davis 42 2,1678.8385,4013.2600
1/31/2020,1009,44744,Gary Lamb 14 1,675.4442,2410.6100
1/31/2020,1009,44745,Davison 40 1,601.2435,6444.7600
1/31/2020,1009,44746,Grace 1,1417.4730,2642.8400
1/31/2020,1009,44747,Richards 44B Pooled Unit 1,2449.7282,3612.8000
1/31/2020,1009,44748,Glasscock 7 2,2421.7363,2946.4900
1/31/2020,1009,44749,Rawlings 43 2,2607.0205,4739.1400
1/31/2020,1009,44750,Thirsty Goat E Unit 2WA,8045.6835,
1/31/2020,1009,44752,Slaughter 29D 1,3129.6455,4972.9600
1/31/2020,1009,44753,Abraxas 28D 2,2953.1887,2451.8000
1/31/2020,1009,44754,McCloskey 42A 1,2731.5880,3282.3100
1/31/2020,1009,44755,Richards 41 1,1817.2362,2903.5500
1/31/2020,1009,44756,Titos 31-42 1LS,16776.4945,17905.0400
1/31/2020,1009,44757,Thomas A 1544,2126.6610,4351.0800
1/31/2020,1009,44759,Bauer 5,4247.3902,4923.7000
1/31/2020,1009,44760,Holcomb 45 3,1120.4262,2229.7000
1/31/2020,1009,44761,Elma L Slaughter G 5,994.9020,3510.9900
1/31/2020,1009,44762,Abraxas 28 1,2942.5637,2961.1900
1/31/2020,1009,44763,Slaughter 17 2,2868.6333,5833.4100
1/31/2020,1009,44764,Titos 31-42 3WA,13661.5300,
1/31/2020,1009,44765,Slaughter 19A 1,3575.7177,2746.2000
1/31/2020,1009,44766,Abraxas 28E 1,2972.0587,2652.6700
1/31/2020,1009,44767,Nance 19 4,2469.6910,2512.1300
1/31/2020,1009,44768,Abraxas 27A 2,2068.9645,2222.4500
1/31/2020,1009,44769,Abraxas 30A 1,2423.4727,7153.6400
1/31/2020,1009,44770,Moses Trust 69 3,1125.8308,7860.3900
1/31/2020,1009,44771,McCloskey 42B 2,2794.2732,3639.8800
1/31/2020,1009,44772,Abraxas 30B 1,2615.2675,3415.7400
1/31/2020,1009,44773,Butchee 22B 4,2328.9197,2291.7800
1/31/2020,1009,44774,Slaughter 29A 1,2971.2842,4335.5000
1/31/2020,1009,44775,Rufus 2,2503.1182,3405.0500
1/31/2020,1009,44776,COOK 21 1D SWD,9782.5830,13442.1500
1/31/2020,1009,44777,Lady Bird 22-14 1WA,15211.5153,30017.7100
1/31/2020,1009,44778,Schneider A 2,3152.0557,5574.2100
1/31/2020,1009,44779,Farms 19 3,2689.6742,2347.2900
1/31/2020,1009,44780,Vogler 4224,2873.1025,2841.1100
1/31/2020,1009,44781,Cook 22 1,1785.2067,3027.6100
1/31/2020,1009,44782,Slaughter 19B 1,3218.4518,3919.1900
1/31/2020,1009,44783,Oneil 4 1,2250.5048,3850.0900
1/31/2020,1009,44784,Harris 1,635.3405,3946.5300
1/31/2020,1009,44785,Abraxas 32 3,2393.7392,2475.4600
1/31/2020,1009,44786,Abraxas 27 2,3135.8947,2920.4000
1/31/2020,1009,44787,Slaughter 74E 1,1991.2428,2781.4100
1/31/2020,1009,44788,Rufus 6,2274.8078,3217.2600
1/31/2020,1009,44789,Cook 22 5,2510.6083,2200.6400
1/31/2020,1009,44790,Lady Bird 22-14 1LS,19272.3505,27217.5100
1/31/2020,1009,44791,Nichols 24 3,478.0040,4186.2400
1/31/2020,1009,44793,Moses Trust 69 2,1752.5020,4407.1700
1/31/2020,1009,44794,Slaughter 74F 1,2021.3305,3386.1400
1/31/2020,1009,44795,Slaughter 29C 1,3529.7865,4722.9600
1/31/2020,1009,44796,RANCH WATER 24 SWD 1,46388.6057,55034.7600
1/31/2020,1009,44797,Abraxas 31B 3,2423.6503,4179.6400
1/31/2020,1009,44798,Cook 22 3,2651.7327,2470.0400
1/31/2020,1009,44799,Titos 31-42 2LS,14977.7437,
1/31/2020,1009,44800,Holcomb 45 2,1550.3682,3235.6200
1/31/2020,1009,44801,Cook 21 4,1907.9603,3118.9600
1/31/2020,1009,44802,Butchee 22A 1,2399.5043,2279.9800
1/31/2020,1009,44803,Abraxas 20 1,2361.7905,3837.5800
1/31/2020,1009,44804,Stevie Ray E Unit 3LS,15.2358,
1/31/2020,1009,44805,Hale 42 1,1769.9115,2810.2900
1/31/2020,1009,44806,Slaughter 75D 1,3114.7277,4223.0900
1/31/2020,1009,44807,Abraxas 20 2,3798.7933,3459.3100
1/31/2020,1009,44808,Nance 19 2,3266.6223,26477.1400
1/31/2020,1009,44809,Lemon Farms Unit 14 1,2700.9918,12605.5400
1/31/2020,1009,44810,Moses Trust 69 1,1069.3928,10058.0700
1/31/2020,1009,44811,McCloskey 42 2,2432.8290,2958.7400
1/31/2020,1009,44812,Abraxas 27B 2,3118.5745,2354.2700
1/31/2020,1009,44813,Slaughter 82A 1,2461.1225,3821.0000
1/31/2020,1009,44814,Rufus 3,409.1582,3821.3200
1/31/2020,1009,44815,Butchee 21 5,1905.7182,3115.0900
1/31/2020,1009,44816,Cook 22 6,1924.3275,2138.7000
1/31/2020,1009,44817,Abraxas 27A 1,3523.8328,2367.9100
1/31/2020,1009,44818,Rufus 9,2708.5140,10396.6800
1/31/2020,1009,44819,Nugget 1,2523.7593,3328.8600
1/31/2020,1009,44820,Slaughter 87B 4R,2232.7595,12958.8400
1/31/2020,1009,44821,Thirsty Goat E Unit 2LS,12305.5602,
1/31/2020,1009,44822,Bauer 4,3868.5267,3345.7200
1/31/2020,1009,44823,Stone 69 1,2776.3670,1947.4200
1/31/2020,1009,44824,Hale 1512,3435.2252,6063.1800
1/31/2020,1009,44825,Slaughter 29E 1,3702.8585,7016.8700
1/31/2020,1009,44826,Snell 2,1529.1305,2474.9000
1/31/2020,1009,44827,Richards 44A 1,2144.5847,3498.3700
1/31/2020,1009,44828,Rawlings 43 1,2601.2005,4026.1000
1/31/2020,1009,44829,Elma L Slaughter E 2,4074.9868,2296.3800
1/31/2020,1009,44830,Abraxas 31A 3,3252.0952,2543.9900
1/31/2020,1009,44831,Titos 31-42 1WA,15003.4465,18773.7500
1/31/2020,1009,44832,Vogler 4214,1596.4360,3278.0600
1/31/2020,1009,44833,Cook 21 5,2170.3013,3121.5000
1/31/2020,1009,44834,Cook 21 1,1881.6658,3285.3400
1/31/2020,1009,44835,Yates 82 2,3601.7883,44497.8300
1/31/2020,1009,44836,Thirsty Goat W Unit 1WA,0.0000,
1/31/2020,1009,44837,Abraxas 31A 2,3335.1342,3974.0200
1/31/2020,1009,44838,Elma L Slaughter G 2,44.0068,1388.3000
1/31/2020,1009,44839,Nance 19 1,2456.5945,10240.0500
1/31/2020,1009,44840,Cook 21 6,2039.3623,2620.3400
1/31/2020,1009,44841,Hale 1443,2265.9518,6758.3700
1/31/2020,1009,44842,Slaughter 29D 2,3251.6022,4597.2700
1/31/2020,1009,44843,Abraxas 30B 4,2468.9782,7293.3300
1/31/2020,1009,44844,Garner 7 2,2700.8635,4188.6300
1/31/2020,1009,44845,Bauer 1,3906.5077,4517.3200
1/31/2020,1009,44846,Slaughter 19D 2,3072.5942,3288.0900
1/31/2020,1009,44847,Slaughter 17 3,2834.5933,5885.5700
1/31/2020,1009,44848,Abraxas 30 1,2141.1148,2261.8400
1/31/2020,1009,44849,Abraxas 27B 3,3216.6485,3171.2500
1/31/2020,1009,44850,Yates 82 3,343.3575,4253.3900
1/31/2020,1009,44851,Hale 1523,2089.0025,1980.9600
1/31/2020,1009,44852,Thomas 1541,1350.5443,2813.0200
1/31/2020,1009,44853,Oneil 4 4,2198.3552,3373.5000
1/31/2020,1009,44854,Slaughter 87B 2,1822.1040,3436.3100
1/31/2020,1009,44855,Rufus 7,2424.7358,3005.9500
1/31/2020,1009,44856,Slaughter 524,2574.4320,3499.6500
1/31/2020,1009,44857,Nance 19 3R,2432.8730,3266.2900
1/31/2020,1009,44858,Abraxas 28A 1,2920.5013,3019.3400
1/31/2020,1009,44859,Moses Trust 69 6,2104.2692,2610.4600
1/31/2020,1009,44860,Slaughter 8C 1,2080.5123,5394.2600
1/31/2020,1009,44861,Deatherage 18 2,1945.8705,2606.0700
1/31/2020,1009,44862,Abraxas 32 6,3056.7177,3356.9400
1/31/2020,1009,44863,McCloskey 42B 1,3135.0818,3955.5600
1/31/2020,1009,44864,Butchee 21 4,2636.9987,2812.9400
1/31/2020,1009,44865,Elma L Slaughter G 6,1384.9040,3940.8700
2/29/2020,1009,44592,Deatherage 23 2,3078.5782,3081.3100
2/29/2020,1009,44593,Abraxas 30A 2,2377.5588,3502.6900
2/29/2020,1009,44595,Richards 41A 1,2194.6450,2801.7000
2/29/2020,1009,44596,Nance 19 6,2055.7588,1972.3400
2/29/2020,1009,44597,Slaughter Bauer 832,2281.0435,3828.2200
2/29/2020,1009,44598,Richards 47A 1,557.7477,1944.9500
2/29/2020,1009,44599,Self 3,1618.2727,6273.2400
2/29/2020,1009,44600,Stephens 1,1411.8095,1667.1700
2/29/2020,1009,44601,Slaughter 19D 1,3349.3322,2424.5000
2/29/2020,1009,44602,Abraxas 28B 1,2932.7167,2296.3000
2/29/2020,1009,44603,Snell 43 1,614.5315,3357.7800
2/29/2020,1009,44604,Johnson C 1,3119.8722,3286.5200
2/29/2020,1009,44605,Heald 4,2113.6403,3896.4400
2/29/2020,1009,44606,Elma L Slaughter B 2,2093.5735,1978.2200
